CODIGO,,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
09-01-0557-46,,09-036,QUETZALTENANGO,QUETZALTENANGO,INSTITUTO PRIVADO URBANO MIXTO SAN IGNACIO DE LOYOLA,8A CALLE 7-57 ZONA 1,58266851,OBDULIO ROLANDO RUIZ ALVA,HERBERT NOEL DE LEÓN OVALLE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),QUETZALTENANGO
09-01-0823-46,,09-004,QUETZALTENANGO,QUETZALTENANGO,COLEGIO CIENTIFICO DE ESTUDIOS EN COMPUTACION,"7A. CALLE 0-47 ZONA 8, ATRAS DE LA COLONIA SAN GABRIEL",52968944,DINA RUBI GONZALEZ DE LEON,NO REPORTA EN PROCESO DE CIERRE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0825-46,,09-005,QUETZALTENANGO,QUETZALTENANGO,INSTITUTO TECNICO INDUSTRIAL PARA VARONES DE QUETZALTENANGO,"0 CALLE Y 36 AVENIDA ZONA 8, BARRIO GARIBALDI",77636221,JUAN CARLOS RONQUILLO DE LEON,OSCAR VIDAL XEC AZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0826-46,,09-005,QUETZALTENANGO,QUETZALTENANGO,INSTITUTO DIVERSIFICADO ADSC. AL INEB DOCTOR WERNER OVALLE LOPEZ,25 AV 4A Y 7A CALLES ZONA 3,77636628,JUAN CARLOS RONQUILLO DE LEON,LUIS ORLANDO LÓPEZ RAMOS,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0871-46,,09-006,QUETZALTENANGO,QUETZALTENANGO,COLEGIO PRIVADO MIXTO LICEO SAN LUIS,CALLE C 0-30 ZONA 1,77612031,PEDRO GERÓNIMO SARAT CHAJ,MAYRA ISABEL CHINCHILLA MONTERROSO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0893-46,,09-041,QUETZALTENANGO,QUETZALTENANGO,"COLEGIO PRIVADO ""LICEO SANTA MARINA""",16 AVE. 7-24 ZONA 3,77636045,WILSON RANFERI SIGUENZA LOPEZ,MAGDA JUDITH CIFUENTES ROBLES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0899-46,,09-005,QUETZALTENANGO,QUETZALTENANGO,ESCUELA NORMAL DE EDUCACION FISICA,2A. CALLE 14-51 ZONA 3,77650423,JUAN CARLOS RONQUILLO DE LEON,LESTER ELIGIO VÁSQUEZ CASTAÑAZA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),QUETZALTENANGO
09-01-1083-46,,09-006,QUETZALTENANGO,QUETZALTENANGO,COLEGIO MIXTO CENTRO DE ESTUDIOS INTEGRADOS,DIAGONAL 11 7-15 ZONA 1,77630094,PEDRO GERÓNIMO SARAT CHAJ,ERVIN ALFREDO DÍAZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-1085-46,,09-036,QUETZALTENANGO,QUETZALTENANGO,INSTITUTO PRIVADO URBANO MIXTO SAN IGNACIO DE LOYOLA,8A. CALLE 7-57 ZONA 1,77653233,OBDULIO ROLANDO RUIZ ALVA,HERBERT NOEL DE LEÓN OVALLE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-1376-46,,09-041,QUETZALTENANGO,QUETZALTENANGO,"COLEGIO PRIVADO MIXTO ""SAN AGUSTIN""",14 AVENIDA 0-69 ZONA 1,79268169,WILSON RANFERI SIGUENZA LOPEZ,GERARDO DE JESÚS ARGUETA ESTRADA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,FIN DE SEMANA,QUETZALTENANGO
